filename,true_class,resnet_pred,resnet_confidence,category,cam_pred_probability,border_energy_fraction_pred,overlay_pred_path,cam_true_probability,border_energy_fraction_true,overlay_true_path
crazing_208.jpg,crazing,crazing,0.998880922794342,correct_representative,0.998880922794342,0.5838032364845276,gradcam/crazing_208_pred-crazing.png,,,
inclusion_86.jpg,inclusion,inclusion,0.9853435754776,correct_representative,0.9853435754776001,0.4793083369731903,gradcam/inclusion_86_pred-inclusion.png,,,
patches_166.jpg,patches,patches,0.998933970928192,correct_representative,0.9989339709281921,0.39427751302719116,gradcam/patches_166_pred-patches.png,,,
pitted_surface_58.jpg,pitted_surface,pitted_surface,0.9942243695259094,correct_representative,0.9942243695259094,0.501090943813324,gradcam/pitted_surface_58_pred-pitted_surface.png,,,
rolled-in_scale_43.jpg,rolled-in_scale,rolled-in_scale,0.9986398816108704,correct_representative,0.9986398816108704,0.4289727807044983,gradcam/rolled-in_scale_43_pred-rolled-in_scale.png,,,
scratches_23.jpg,scratches,scratches,0.999243140220642,correct_representative,0.9992431402206421,0.3469838500022888,gradcam/scratches_23_pred-scratches.png,,,
inclusion_238.jpg,inclusion,inclusion,0.4299196600914001,confusion_prone_correct,0.42991966009140015,0.535009503364563,gradcam/inclusion_238_pred-inclusion.png,,,
pitted_surface_134.jpg,pitted_surface,pitted_surface,0.5126571655273438,confusion_prone_correct,0.5126572251319885,0.4421581029891968,gradcam/pitted_surface_134_pred-pitted_surface.png,,,
scratches_134.jpg,scratches,scratches,0.4717336893081665,confusion_prone_correct,0.47173357009887695,0.46098166704177856,gradcam/scratches_134_pred-scratches.png,,,
patches_240.jpg,patches,patches,0.7728579640388489,confusion_prone_correct,0.7728580236434937,0.5106737017631531,gradcam/patches_240_pred-patches.png,,,
crazing_171.jpg,crazing,crazing,0.6422109007835388,confusion_prone_correct,0.642210841178894,0.8012996315956116,gradcam/crazing_171_pred-crazing.png,,,
inclusion_228.jpg,inclusion,scratches,0.5566837191581726,incorrect,0.5566837191581726,0.24120426177978516,gradcam/inclusion_228_pred-scratches.png,0.2302308976650238,0.9503320455551147,gradcam/inclusion_228_true-inclusion.png
inclusion_230.jpg,inclusion,pitted_surface,0.5794373750686646,incorrect,0.5794374942779541,0.48802876472473145,gradcam/inclusion_230_pred-pitted_surface.png,0.3043845295906067,0.6266705989837646,gradcam/inclusion_230_true-inclusion.png
inclusion_234.jpg,inclusion,pitted_surface,0.5147451758384705,incorrect,0.5147452354431152,0.25240179896354675,gradcam/inclusion_234_pred-pitted_surface.png,0.40100497007369995,0.30340391397476196,gradcam/inclusion_234_true-inclusion.png
inclusion_240.jpg,inclusion,pitted_surface,0.5412713289260864,incorrect,0.5412713885307312,0.5137602686882019,gradcam/inclusion_240_pred-pitted_surface.png,0.3581683039665222,0.33257848024368286,gradcam/inclusion_240_true-inclusion.png
inclusion_253.jpg,inclusion,pitted_surface,0.547249436378479,incorrect,0.5472494959831238,0.4590766429901123,gradcam/inclusion_253_pred-pitted_surface.png,0.2549724578857422,1.0,gradcam/inclusion_253_true-inclusion.png
inclusion_282.jpg,inclusion,scratches,0.6185609102249146,incorrect,0.6185609102249146,0.5710027813911438,gradcam/inclusion_282_pred-scratches.png,0.30244261026382446,0.3942284882068634,gradcam/inclusion_282_true-inclusion.png
pitted_surface_273.jpg,pitted_surface,crazing,0.3173337876796722,incorrect,0.3173336684703827,0.6188254952430725,gradcam/pitted_surface_273_pred-crazing.png,0.20183664560317993,0.8815921545028687,gradcam/pitted_surface_273_true-pitted_surface.png
pitted_surface_97.jpg,pitted_surface,rolled-in_scale,0.4488265514373779,incorrect,0.4488266706466675,0.29501456022262573,gradcam/pitted_surface_97_pred-rolled-in_scale.png,0.2684802711009979,0.6021462082862854,gradcam/pitted_surface_97_true-pitted_surface.png
scratches_69.jpg,scratches,inclusion,0.5341013073921204,incorrect,0.5341012477874756,0.42509573698043823,gradcam/scratches_69_pred-inclusion.png,0.44926124811172485,0.5261396765708923,gradcam/scratches_69_true-scratches.png
scratches_96.jpg,scratches,inclusion,0.7882945537567139,incorrect,0.7882945537567139,0.532460629940033,gradcam/scratches_96_pred-inclusion.png,0.18242548406124115,0.8030169010162354,gradcam/scratches_96_true-scratches.png
